bookname,author,year,score,population,url,comment
周四推理俱乐部：“魔鬼”的最后一眼,[英] 理查德·奥斯曼,2024,8.4,149,https://book.douban.com/subject/37031012/,
哈利·波特与火焰杯,[英] J. K. 罗琳,2001,9.1,133266,https://book.douban.com/subject/1009257/,
莫泊桑中短篇小说集（插图珍藏版）,[法] 莫泊桑、[美] 阿道夫·德恩 绘、[法] 拉乌尔·塞尔 绘,2024,9.6,117,https://book.douban.com/subject/36964254/,
滔滔生活,[韩]金爱烂,2022,8.4,10727,https://book.douban.com/subject/36109148/,
请照顾好我妈妈,[韩]申京淑,2021,8.5,4776,https://book.douban.com/subject/35374447/,
神秘的陌生人,[美] 马克·吐温、[德] 阿塔克 绘,2024,9.2,166,https://book.douban.com/subject/36732204/,
成濑要征服世界,[日] 宫岛未奈,2024,7.9,134,https://book.douban.com/subject/36975945/,
少女地狱,[日] 梦野久作,2024,7.2,147,https://book.douban.com/subject/36886983/,
名侦探的献祭,[日] 白井智之,2023,7.1,11963,https://book.douban.com/subject/36512989/,
哈利·波特与阿兹卡班的囚徒,[英] J. K. 罗琳,2000,9.0,138722,https://book.douban.com/subject/1071241/,
点与线,松本清张,2016,7.7,5283,https://book.douban.com/subject/26739950/,
宋慈洗冤笔记,巫童,2023,7.8,6115,https://book.douban.com/subject/36540441/,
小径分岔的花园,[阿根廷] 豪·路·博尔赫斯,2015,8.9,49783,https://book.douban.com/subject/25796120/,
西游八十一案,陈渐,2018,7.2,3019,https://book.douban.com/subject/27609563/,
平凡的世界（全三部）,路遥,2005,9.0,329751,https://book.douban.com/subject/1200840/,
王能好,魏思孝,2022,8.1,3344,https://book.douban.com/subject/35726357/,
一朵桔梗花,[日] 连城三纪彦,2017,8.5,7393,https://book.douban.com/subject/27001114/,
